,Subject,Block,Pre,Post
384,CD,9,0.6875,0.4375
385,CD,9,0.625,0.5416666666666666
386,CD,9,0.625,0.4791666666666667
387,CD,9,0.625,0.4583333333333333
388,CD,9,0.625,0.4791666666666667
389,CD,9,0.375,0.4791666666666667
390,CG,9,0.4375,0.4375
391,CG,9,0.4375,0.4375
392,CG,9,0.375,0.5416666666666666
393,CG,9,0.625,0.5833333333333334
394,CG,9,0.5,0.5625
395,CG,9,0.4375,0.5
396,DA,9,0.25,0.6041666666666666
397,DA,9,0.5,0.5833333333333334
398,DA,9,0.5,0.4583333333333333
399,DA,9,0.5,0.4583333333333333
400,DA,9,0.5,0.5625
401,DA,9,0.25,0.5
402,JN,9,0.5625,0.5625
403,JN,9,0.6875,0.625
404,JN,9,0.6875,0.6875
405,JN,9,0.5625,0.6041666666666666
406,JN,9,0.625,0.6666666666666666
407,JN,9,0.6875,0.625
408,JS,9,0.4375,0.4791666666666667
409,JS,9,0.5625,0.5208333333333334
410,JS,9,0.5625,0.5208333333333334
411,JS,9,0.5,0.4375
412,JS,9,0.5625,0.5416666666666666
413,JS,9,0.375,0.4791666666666667
414,SK,9,0.625,0.5208333333333334
415,SK,9,0.5,0.5833333333333334
416,SK,9,0.5,0.5
417,SK,9,0.625,0.5208333333333334
418,SK,9,0.5,0.4791666666666667
419,SK,9,0.5,0.5
420,AC,10,0.5625,0.5
421,AC,10,0.6875,0.4791666666666667
422,AC,10,0.4375,0.5625
423,AC,10,0.5625,0.4166666666666667
424,AC,10,0.375,0.4791666666666667
425,AC,10,0.375,0.5
426,CD,10,0.6875,0.4791666666666667
427,CD,10,0.625,0.4791666666666667
428,CD,10,0.5625,0.5416666666666666
429,CD,10,0.5625,0.6041666666666666
430,CD,10,0.625,0.5208333333333334
431,CD,10,0.5,0.5208333333333334
432,CG,10,0.8125,0.5625
433,CG,10,0.5625,0.5
434,CG,10,0.4375,0.5
435,CG,10,0.4375,0.4583333333333333
436,CG,10,0.6875,0.4583333333333333
437,CG,10,0.4375,0.4375
438,DA,10,0.4375,0.5
439,DA,10,0.5,0.5208333333333334
440,DA,10,0.5,0.5
441,DA,10,0.5,0.5208333333333334
442,DA,10,0.4375,0.5416666666666666
