,Subject,Block,Pre,Post
2086,JN,49,0.5,0.375
2087,JN,49,0.375,0.5208333333333334
2088,JS,49,0.5,0.5625
2089,JS,49,0.5,0.4791666666666667
2090,JS,49,0.375,0.4791666666666667
2091,JS,49,0.5625,0.4791666666666667
2092,JS,49,0.3125,0.4791666666666667
2093,JS,49,0.3125,0.4375
2094,SK,49,0.4375,0.625
2095,SK,49,0.4375,0.6041666666666666
2096,SK,49,0.625,0.6041666666666666
2097,SK,49,0.5,0.5625
2098,SK,49,0.5,0.6041666666666666
2099,SK,49,0.25,0.5625
2100,AC,50,0.5,0.4583333333333333
2101,AC,50,0.4375,0.5
2102,AC,50,0.5625,0.4375
2103,AC,50,0.5625,0.5833333333333334
2104,AC,50,0.5,0.5
2105,AC,50,0.3125,0.6041666666666666
2106,CD,50,0.3125,0.5625
2107,CD,50,0.5,0.4166666666666667
2108,CD,50,0.5,0.4583333333333333
2109,CD,50,0.5,0.4375
2110,CD,50,0.625,0.3958333333333333
2111,CD,50,0.4375,0.5
2112,CG,50,0.375,0.5416666666666666
2113,CG,50,0.375,0.5416666666666666
2114,CG,50,0.5,0.4791666666666667
2115,CG,50,0.5625,0.5208333333333334
2116,CG,50,0.625,0.5
2117,CG,50,0.75,0.4583333333333333
2118,DA,50,0.625,0.4375
2119,DA,50,0.5,0.5833333333333334
2120,DA,50,0.5625,0.4791666666666667
2121,DA,50,0.375,0.4791666666666667
2122,DA,50,0.5,0.5208333333333334
2123,DA,50,0.5,0.5
2124,JN,50,0.4375,0.5
2125,JN,50,0.375,0.4375
2126,JN,50,0.5625,0.6458333333333334
2127,JN,50,0.5,0.4791666666666667
2128,JN,50,0.4375,0.5208333333333334
2129,JN,50,0.4375,0.5208333333333334
2130,JS,50,0.5625,0.5
2131,JS,50,0.6875,0.4583333333333333
2132,JS,50,0.625,0.375
2133,JS,50,0.625,0.4166666666666667
2134,JS,50,0.4375,0.5625
2135,JS,50,0.5,0.5
2136,SK,50,0.4375,0.4791666666666667
2137,SK,50,0.75,0.4583333333333333
2138,SK,50,0.4375,0.4791666666666667
2139,SK,50,0.4375,0.5833333333333334
2140,SK,50,0.5,0.4791666666666667
2141,SK,50,0.5,0.4375
2142,AC,51,0.625,0.4583333333333333
2143,AC,51,0.4375,0.5625
2144,AC,51,0.6875,0.4166666666666667
2145,AC,51,0.625,0.5
2146,AC,51,0.5625,0.5
2147,AC,51,0.3125,0.5208333333333334
2148,CD,51,0.5,0.375
2149,CD,51,0.5,0.625
2150,CD,51,0.5,0.5
2151,CD,51,0.625,0.375
2152,CD,51,0.5,0.4583333333333333
2153,CD,51,0.375,0.5833333333333334
2154,CG,51,0.4375,0.4791666666666667
2155,CG,51,0.5625,0.6041666666666666
2156,CG,51,0.5,0.4583333333333333
2157,CG,51,0.5,0.4791666666666667
2158,CG,51,0.5,0.5
2159,CG,51,0.4375,0.5416666666666666
2160,DA,51,0.5,0.6041666666666666
